371693.81185217435, 5893260.271071137
372036.66755973815, 5892450.527392426
372346.870342772, 5891615.422614158
372387.68649843434, 5892947.333217675
372665.2363569384, 5890799.338660558
372697.88928146823, 5892126.04118113
372991.76560223714, 5889971.9327875115
373016.25529563456, 5891288.445580584
373065.2346824294, 5892618.091800213
373285.6419230061, 5889141.469996217
373318.29484753596, 5891842.766756615
373326.45807866845, 5890477.796148318
373579.518243775, 5888346.671251173
373628.49763056985, 5891005.578745169
373661.1505550997, 5889637.709725494
373677.4770173647, 5892339.0064858915
373840.7416400141, 5887536.927572462
373946.8636447362, 5890192.483778302
373946.8636447362, 5888813.021113115
374044.8224183259, 5891557.454386599
374248.90319663764, 5888014.689929205
374273.392890035, 5889357.982835738
374363.1884324922, 5890723.934677053
374404.00458815455, 5892050.184320848
374510.1265928767, 5887203.38382561
374567.26921080396, 5888529.520250211
374673.3912155261, 5889904.272996908
374681.5544466585, 5891306.560651696
374861.14553157287, 5887737.8916426115
374999.92046082485, 5889071.976054663
375032.5733853548, 5891802.823024812
375008.08369195735, 5890484.912783397
375138.6953900769, 5886893.470542057
375293.7967815938, 5888247.830894417
375310.12324385875, 5889652.994316745
375342.77616838866, 5890999.0573195685
375595.8363334952, 5887454.390779708
375620.32602689264, 5888816.825278048
375661.142182555, 5890158.970896744
375701.95833821734, 5891494.2780760955
375848.8964986018, 5886634.593236529
375930.52880992653, 5887994.106679654
375971.3449655889, 5889348.321464478
375987.6714278538, 5890724.161115442
376232.5683618279, 5887203.4970448045
376297.8742108877, 5889886.339076507
376297.8742108877, 5888512.310932654
376330.52713541756, 5891221.419817469
376485.6285269345, 5886378.015898065
376591.7505316566, 5887688.980950609
376616.24022505403, 5889075.236767462
376689.70930524624, 5890411.676138759
376885.6268524256, 5886897.35234301
376934.60623922036, 5888240.584865972
377008.07531941263, 5889577.59033324
377040.7282439425, 5890907.349772063
377163.17671092955, 5886076.8948936695
377236.64579112176, 5887412.273239371
377318.27810244646, 5890178.172872123
377318.27810244646, 5888763.838695046
377530.5221118907, 5886619.512439828
377628.48088548036, 5889343.226600727
377652.9705788778, 5887922.665367955
377685.62350340764, 5890678.873437662
377791.74550812977, 5885798.220403283
377946.8468996467, 5887098.4296323545
377955.0101307792, 5888526.010455183
377987.66305530904, 5889851.6940030055
378240.72322041565, 5886308.612531867
378273.3761449455, 5887693.509718387
378297.8658383429, 5889016.543937059
378346.8452251378, 5890354.047568783
378501.9466166547, 5885484.376796266
378567.25246571447, 5886864.745215008
378616.23185250926, 5888199.82595597
378657.0480081716, 5889549.670479889
378869.29201761587, 5886075.380991298
378893.7817110133, 5888755.958639112
378942.7610978081, 5887368.344191925
379130.5154138549, 5885254.088954753
379203.9844940471, 5887938.968931956
379236.63741857704, 5886540.485442101
379530.51373934594, 5887107.487167911
379530.51373934594, 5885752.479848725
379791.737135585, 5884928.244113124
379832.55329124734, 5886283.25143231
380118.2663808838, 5885488.905564044
380371.3265459904, 5884682.445241972
